# ../captures/2026-09-23_tag02_boot-init-4ch_20MHz.sr  rate 20,000,000 Hz  sck=Pin13 data=Pin14 cs=Pin12 dc=Pin11
# time_s        cs_low_us  dc  clk  period_us  byte
   6.7063493       5.85   0    8      0.157  70
   6.7064182      13.65   1    8      1.000  0D
   6.7064347      13.20   1    8      0.993  04
   6.7064508      13.20   1    8      0.993  01
   6.7065287       5.85   0    8      0.157  90
   6.7065383       5.05   0    8      0.157  A2
   6.7065465       3.95   1    8      0.157  00
   6.7065530       3.80   1    8      0.157  15
   6.7065594       3.80   1    8      0.157  00
   6.7065657       3.85   1    8      0.157  00
   6.7065721       3.85   1    8      0.157  E0
   6.7065790       5.10   0    8      0.157  92
   6.7066460      13.65   1    8      0.993  00
   6.7066633      13.35   1    8      0.993  A5
   6.7066779      12.85   1    8      0.993  1D
   6.7066920      12.90   1    8      0.993  87
   6.7067061      12.85   1    8      0.993  04
   6.7067203      12.90   1    8      0.993  01
   6.7067344      12.85   1    8      0.993  53
   6.7067485      12.90   1    8      0.993  50
   6.7067626      12.85   1    8      0.993  51
   6.7067768      12.90   1    8      0.993  30
   6.7067909      12.85   1    8      0.993  4B
   6.7068050      12.90   1    8      0.993  58
   6.7068192      12.85   1    8      0.993  04
   6.7068332      12.90   1    8      0.993  FF
   6.7068474      12.85   1    8      0.993  FF
   6.7068615      12.90   1    8      0.993  FF
   6.7068756      12.85   1    8      0.993  FF
   6.7068898      12.90   1    8      1.000  07
   6.7069039      12.85   1    8      0.993  07
   6.7069180      12.90   1    8      1.000  2B
   6.7069322      12.85   1    8      0.993  01
   6.7069462      12.90   1    8      1.000  E0
   6.7069604      12.85   1    8      0.993  03
   6.7069745      12.90   1    8      1.000  20
   6.7069887      12.85   1    8      0.993  40
   6.7070028      12.90   1    8      1.000  40
   6.7070169      12.85   1    8      0.993  40
   6.7070310      12.90   1    8      1.000  07
   6.7070451      12.85   1    8      0.993  AB
   6.7070593      12.90   1    8      1.000  FF
   6.7070734      12.85   1    8      0.993  FF
   6.7070875      12.90   1    8      1.000  00
   6.7071017      12.85   1    8      0.993  00
   6.7071157      12.90   1    8      1.000  00
   6.7071299      12.85   1    8      0.993  3C
   6.7071440      12.90   1    8      1.000  00
   6.7071581      12.85   1    8      0.993  00
   6.7071723      12.90   1    8      1.000  00
   6.7071864      12.85   1    8      0.993  00
   6.7072005      12.90   1    8      1.000  08
   6.7072147      12.85   1    8      0.993  37
   6.7072287      12.90   1    8      1.000  03
   6.7072429      12.85   1    8      0.993  03
   6.7072570      12.90   1    8      1.000  00
   6.7072712      12.85   1    8      0.993  01
   6.7072852      12.90   1    8      1.000  1E
   6.7072994      12.85   1    8      0.993  06
   6.7073135      12.90   1    8      1.000  0A
   6.7073276      12.85   1    8      0.993  0F
   6.7073418      12.90   1    8      1.000  19
   6.7073559      12.85   1    8      0.993  0F
   6.7073700      12.90   1    8      1.000  09
   6.7073842      12.85   1    8      0.993  FF
   6.7073982      12.90   1    8      1.000  FF
   6.7074124      12.85   1    8      0.993  FF
   6.7074265      12.90   1    8      1.000  FF
   6.7074406      12.85   1    8      0.993  FF
   6.7074548      12.90   1    8      1.000  FF
   6.7074689      12.85   1    8      0.993  FF
   6.7074830      12.90   1    8      1.000  FF
   6.7074972      12.85   1    8      0.993  01
   6.7075112      12.90   1    8      1.000  04
   6.7075254      12.85   1    8      0.993  01
   6.7075395      12.90   1    8      1.000  01
   6.7075537      12.85   1    8      0.993  3F
   6.7075677      12.90   1    8      0.993  FF
   6.7075819      12.85   1    8      0.993  FF
   6.7075960      12.85   1    8      0.993  FF
   6.7076101      12.85   1    8      0.993  FF
   6.7076243      12.85   1    8      0.993  FF
# 82 frames
